company,canton,sector,revenue_m_chf,revenue_growth_pct,ebitda_margin_pct,debt_to_equity,current_ratio,employee_growth_pct,customer_concentration_pct,late_payment_pct
Nestlé,VD,Consumer Goods,92000,5.2,20.1,1.10,1.35,2.1,8.0,4.0
Demo Alpine Foods AG,BE,Consumer Goods,420,8.1,14.8,0.72,1.90,6.0,14.0,7.0
Demo Helvetia Nutrition AG,FR,Consumer Goods,160,-9.5,7.2,2.35,0.88,-7.0,48.0,29.0
Roche,BS,Pharma,61000,3.2,35.0,0.95,1.42,1.1,7.0,3.0
Novartis,BS,Pharma,50000,6.0,36.5,0.80,1.50,2.2,6.0,4.0
Demo Léman Biotech SA,GE,Pharma,95,-12.0,-4.5,2.80,0.72,-12.0,51.0,33.0
ABB,ZH,Industrial,32000,4.5,18.0,0.65,1.30,1.8,9.0,6.0
Holcim,ZG,Industrial,27000,2.0,22.0,0.90,1.15,0.5,11.0,7.0
Demo Precision Systems AG,SG,Industrial,210,-5.0,9.5,1.90,0.95,-5.5,43.0,24.0
Logitech,VD,Technology,4300,7.0,16.5,0.18,2.40,5.0,13.0,5.0
Demo Zürich Cloud AG,ZH,Technology,120,24.0,12.0,0.45,2.10,19.0,18.0,8.0
Demo Ticino Data SA,TI,Technology,75,-17.0,1.0,2.60,0.68,-16.0,59.0,37.0
Swiss Re,ZH,Financial Services,49000,4.0,25.0,1.20,1.20,1.5,5.0,3.0
Demo Zug Finance AG,ZG,Financial Services,380,9.0,28.0,0.70,1.80,4.0,10.0,5.0
Demo Basel Credit Analytics AG,BS,Financial Services,90,-8.0,8.0,2.10,0.90,-8.0,46.0,28.0
